# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2025-04-07
#
# GRDC-No.:              3103500
# River:                 RIO MAGDALENA
# Station:               PUERTO BERRIO
# Country:               CO
# Latitude (DD):       6.5
# Longitude (DD):      -74.38
# Catchment area (km²):      74410.0
# Altitude (m ASL):        1570.0
# Next downstream station:      3103300
# Remarks:               
# Owner of original data: Instituto de Hidrología, Meteorología y Estudios Ambientales
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1936-01 - 2024-08
# No. of years:          89
# Last update:           2024-10-07
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 32380
# DATA
YYYY-MM-DD;hh:mm; Value
1936-07-14;--:--;   1625.000
1936-07-15;--:--;   2240.000
1936-07-16;--:--;   2276.000
1936-07-17;--:--;   1990.000
1936-07-18;--:--;   1798.000
1936-07-19;--:--;   1690.000
1936-07-20;--:--;   1690.000
1936-07-21;--:--;   1690.000
1936-07-22;--:--;   1651.000
1936-07-23;--:--;   1625.000
1936-07-24;--:--;   1573.000
1936-07-25;--:--;   1370.000
1936-07-26;--:--;   1350.000
1936-07-27;--:--;   1330.000
1936-07-28;--:--;   1130.000
1936-07-29;--:--;   1677.000
1936-07-30;--:--;   1750.000
1936-07-31;--:--;   1130.000
1936-08-01;--:--;   1066.000
1936-08-02;--:--;   1093.000
1936-08-03;--:--;   1120.000
1936-08-04;--:--;   1240.000
1936-08-05;--:--;   1547.000
1936-08-06;--:--;   1495.000
1936-08-07;--:--;   1560.000
1936-08-08;--:--;   1651.000
1936-08-09;--:--;   1834.000
1936-08-10;--:--;   1560.000
1936-08-11;--:--;   1230.000
1936-08-12;--:--;   1220.000
1936-08-13;--:--;   1220.000
1936-08-14;--:--;   1290.000
1936-08-15;--:--;   1930.000
1936-08-16;--:--;   1495.000
1936-08-17;--:--;   1270.000
1936-08-18;--:--;   1160.000
1936-08-19;--:--;   1120.000
1936-08-20;--:--;   1102.000
1936-08-21;--:--;   1280.000
1936-08-22;--:--;   1370.000
1936-08-23;--:--;   1738.000
1936-08-24;--:--;   1370.000
1936-08-25;--:--;   1220.000
1936-08-26;--:--;   1482.000
1936-08-27;--:--;   1370.000
1936-08-28;--:--;   1340.000
1936-08-29;--:--;   1102.000
1936-08-30;--:--;   1084.000
1936-08-31;--:--;   1004.000
1936-09-01;--:--;   1190.000
1936-09-02;--:--;   1022.000
1936-09-03;--:--;   1140.000
1936-09-04;--:--;   1978.000
1936-09-05;--:--;   1612.000
1936-09-06;--:--;   1495.000
1936-09-07;--:--;   1834.000
1936-09-08;--:--;   1638.000
1936-09-09;--:--;   2026.000
1936-09-10;--:--;   1822.000
1936-09-11;--:--;   1858.000
1936-09-12;--:--;   1664.000
1936-09-13;--:--;   1846.000
1936-09-14;--:--;   1495.000
1936-09-15;--:--;   1240.000
1936-09-16;--:--;   1140.000
1936-09-17;--:--;   1560.000
1936-09-18;--:--;   1750.000
1936-09-19;--:--;   2076.000
1936-09-20;--:--;   1560.000
1936-09-21;--:--;   1456.000
1936-09-22;--:--;   1360.000
1936-09-23;--:--;   1690.000
1936-09-24;--:--;   1810.000
1936-09-25;--:--;   1750.000
1936-09-26;--:--;   1930.000
1936-09-27;--:--;   1625.000
1936-09-28;--:--;   1774.000
1936-09-29;--:--;   1750.000
1936-09-30;--:--;   1586.000
1936-10-01;--:--;   1750.000
1936-10-02;--:--;   2378.000
1936-10-03;--:--;   1690.000
1936-10-04;--:--;   1966.000
1936-10-05;--:--;   1930.000
1936-10-06;--:--;   2204.000
1936-10-07;--:--;   2766.000
1936-10-08;--:--;   1930.000
1936-10-09;--:--;   2326.000
1936-10-10;--:--;   2204.000
1936-10-11;--:--;   2670.000
1936-10-12;--:--;   2300.000
1936-10-13;--:--;   2300.000
1936-10-14;--:--;   1810.000
1936-10-15;--:--;   2240.000
1936-10-16;--:--;   2002.000
1936-10-17;--:--;   1918.000
1936-10-18;--:--;   1930.000
1936-10-19;--:--;   2634.000
1936-10-20;--:--;   3110.000
1936-10-21;--:--;   2490.000
1936-10-22;--:--;   2574.000
1936-10-23;--:--;   2920.000
1936-10-24;--:--;   3209.000
1936-10-25;--:--;   2868.000
1936-10-26;--:--;   2598.000
1936-10-27;--:--;   2490.000
1936-10-28;--:--;   2855.000
1936-10-29;--:--;   2855.000
1936-10-30;--:--;   3300.000
1936-10-31;--:--;   2855.000
1936-11-01;--:--;   2985.000
1936-11-02;--:--;   2920.000
1936-11-03;--:--;   2622.000
1936-11-04;--:--;   3170.000
1936-11-05;--:--;   2920.000
1936-11-06;--:--;   2754.000
1936-11-07;--:--;   2550.000
1936-11-08;--:--;   3505.000
1936-11-09;--:--;   3222.000
1936-11-10;--:--;   2670.000
1936-11-11;--:--;   3146.000
1936-11-12;--:--;   2478.000
1936-11-13;--:--;   2454.000
1936-11-14;--:--;   2365.000
1936-11-15;--:--;   2128.000
1936-11-16;--:--;   2050.000
1936-11-17;--:--;   1690.000
1936-11-18;--:--;   1966.000
1936-11-19;--:--;   2204.000
1936-11-20;--:--;   2141.000
1936-11-21;--:--;   2228.000
1936-11-22;--:--;   2610.000
1936-11-23;--:--;   2326.000
1936-11-24;--:--;   2574.000
1936-11-25;--:--;   2300.000
1936-11-26;--:--;   2180.000
1936-11-27;--:--;   2002.000
1936-11-28;--:--;   2050.000
1936-11-29;--:--;   1834.000
1936-11-30;--:--;   2313.000
1936-12-01;--:--;   2730.000
1936-12-02;--:--;   2204.000
1936-12-03;--:--;   2050.000
1936-12-04;--:--;   1834.000
1936-12-05;--:--;   1750.000
1936-12-06;--:--;   1625.000
1936-12-07;--:--;   1906.000
1936-12-08;--:--;   2050.000
1936-12-09;--:--;   1810.000
1936-12-10;--:--;   1834.000
1936-12-11;--:--;   1690.000
1936-12-12;--:--;   1560.000
1936-12-13;--:--;   1750.000
1936-12-14;--:--;   1870.000
1936-12-15;--:--;   1786.000
1936-12-16;--:--;   1625.000
1936-12-17;--:--;   1430.000
1936-12-18;--:--;   1380.000
1936-12-19;--:--;   1690.000
1936-12-20;--:--;   1612.000
1936-12-21;--:--;   1638.000
1936-12-22;--:--;   1690.000
1936-12-23;--:--;   1638.000
1936-12-24;--:--;   1810.000
1936-12-25;--:--;   1560.000
1936-12-26;--:--;   1690.000
1936-12-27;--:--;   1762.000
1936-12-28;--:--;   1714.000
1936-12-29;--:--;   2050.000
1936-12-30;--:--;   1834.000
1936-12-31;--:--;   1966.000
1937-01-01;--:--;   2180.000
1937-01-02;--:--;   2478.000
1937-01-03;--:--;   3170.000
1937-01-04;--:--;   2790.000
1937-01-05;--:--;   3404.000
1937-01-06;--:--;   2855.000
1937-01-07;--:--;   3170.000
1937-01-08;--:--;   2920.000
1937-01-09;--:--;   2985.000
1937-01-10;--:--;   2490.000
1937-01-11;--:--;   2574.000
1937-01-12;--:--;   2240.000
1937-01-13;--:--;   2026.000
1937-01-14;--:--;   2141.000
1937-01-15;--:--;   2050.000
1937-01-16;--:--;   1810.000
1937-01-17;--:--;   1762.000
1937-01-18;--:--;   2050.000
1937-01-19;--:--;   2490.000
1937-01-20;--:--;   2658.000
1937-01-21;--:--;   2228.000
